,Unnamed: 0,id,scrape_id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,availability_365,number_of_reviews
1189,1189,13600463,20240925021012,49735631,1.0,1.0,23.0,26.0,19.36884,-99.2,1.0,0.5,1.0,0.0,345.0,1.0,1125,1.0,365.0,17,59,65,95.0
1190,1190,13606858,20240925021012,148936125,1.0,0.99,30.0,33.0,19.46754,-99.17241,4.0,1.0,1.0,1.0,521.0,1.0,1125,1.0,1125.0,23,68,158,60.0
1191,1191,13607398,20240925021012,71575956,1.0,1.0,1.0,1.0,19.43226,-99.15379,5.0,1.5,2.0,3.0,758.0,2.0,1125,2.0,1125.0,23,32,122,48.0
1192,1192,13110981,20240925021012,71186331,1.0,1.0,1.0,2.0,19.3757,-99.2,4.0,1.4748595090209995,2.0,1.9678361335646877,999.0,1.6,1125,5.0,1125.0,20,37,291,4.0
1193,1193,13113108,20240925021012,451159548,1.0,1.0,30.0,32.0,19.40864,-99.16962,4.0,2.0,2.0,2.0,1957.0,2.0,365,2.1,365.0,30,43,71,27.0
1194,1194,13116411,20240925021012,25416724,1.0,0.9,7.0,9.0,19.33418,-99.17589,2.0,1.5,1.0,1.0,550.0,2.0,1125,2.0,1125.0,3,41,204,44.0
1195,1195,13128142,20240925021012,72941967,1.0,1.0,2.0,2.0,19.39381,-99.16091,6.0,1.0,2.0,3.0,1217.0,1.0,1125,1.0,1125.0,15,58,148,27.0
1196,1196,13683964,20240925021012,79683957,1.0,1.0,1.0,1.0,19.4221472,-99.1590856,4.0,2.0,2.0,2.0,2200.0,1.6,90,3.0,90.0,0,43,104,18.0
1197,1197,13688387,20240925021012,71988261,1.0,0.99,4.0,4.0,19.42356,-99.15939,2.0,1.0,1.0,1.0,556.0,3.0,1125,3.0,1125.0,14,64,339,72.0
1198,1198,13688847,20240925021012,79752628,1.0,1.0,3.0,4.0,19.386991234967457,-99.17625691686337,2.0,1.0,1.0,1.0,1140.0,1.6,1125,4.0,1125.0,18,78,353,27.0
1199,1199,13689463,20240925021012,7174720,1.0,0.98,10.0,16.0,19.42925,-99.19687,3.0,1.0,1.0,1.0,2691.0,1.0,1125,1.3,1125.0,22,62,332,129.0
1200,1200,13618873,20240925021012,70339740,1.0,0.99,1.0,4.0,19.42486,-99.2,4.0,2.5,2.0,2.0,1026.3,3.0,3,3.0,3.0,28,88,363,19.0
1201,1201,13622586,20240925021012,49735631,1.0,1.0,23.0,26.0,19.36791,-99.2,2.0,1.0,1.0,2.0,918.0,1.0,365,1.0,365.0,18,76,82,17.0
1202,1202,13622872,20240925021012,49735631,1.0,1.0,23.0,26.0,19.36864,-99.2,4.0,1.0,1.0,2.0,918.0,1.0,1125,1.0,365.0,24,78,84,13.0
1203,1203,13624425,20240925021012,360480220,1.0,0.99,6.2,7.3,19.4115570262648,-99.17655889028198,2.0,1.0,1.0,1.0,494.0,2.0,28,2.0,1125.0,12,58,58,85.0
1204,1204,13634443,20240925021012,2663410,1.0,0.96,2.0,5.0,19.43498,-99.15229,2.0,1.5,1.0,1.0,1642.0,3.0,60,3.0,1125.0,14,67,342,27.0
1205,1205,13635040,20240925021012,30672063,1.0,1.0,11.0,11.0,19.423141479492188,-99.15837097167967,1.0,3.0,1.0,1.0,371.0,2.0,36,2.0,1125.0,25,80,259,27.0
1206,1206,13653458,20240925021012,47665322,1.0,0.99,15.0,17.0,19.433685,-99.212067,2.0,1.0,1.0,1.0,1093.0,1.0,1125,1.0,1125.0,16,74,349,27.0
1207,1207,13654417,20240925021012,36453886,1.0,1.0,1.0,1.0,19.41342,-99.18596,6.0,2.0,3.0,1.6,1256.0,1.0,1125,1.3,1125.0,0,37,37,104.0
1208,1208,13701373,20240925021012,79556629,1.0,1.0,11.0,14.0,19.35573,-99.15642,2.0,1.0,1.0,1.0,1159.0,1.0,1125,1.0,1125.0,30,90,365,41.0
1209,1209,13701449,20240925021012,79556629,1.0,1.0,11.0,14.0,19.35775,-99.15761,2.0,1.5,1.0,1.0,1082.0,1.0,20,1.0,20.0,29,89,364,63.0
1210,1210,13728290,20240925021012,80286124,1.0,1.0,1.0,1.0,19.42322,-99.16969,4.0,1.0,2.0,3.0,1449.0,2.0,1125,2.0,1125.0,21,72,72,60.0
1211,1211,13731932,20240925021012,30058962,1.0,0.99,1.0,1.0,19.34124,-99.16558,2.0,1.4748595090209995,2.0,1.9678361335646877,999.0,1.6,365,1.8,365.0,0,0,0,0.0
1212,1212,13746108,20240925021012,80599213,1.0,0.99,1.0,2.0,19.42213,-99.14763,3.0,1.0,2.0,3.0,586.0,2.0,1125,2.0,1125.0,25,70,338,27.0
